Sale Price,Mileage,Exterior Color,Sustained Damage,Convertible,Single Owner
32500,1460,Gray,No,No,Yes
28800,17795,Black,No,No,No
43000,17037,Blue,No,Yes,No
32787,9971,Gray,No,No,Yes
33310,11374,Blue,No,Yes,No
28400,26020,Gray,No,No,Yes
30000,14169,Black,No,No,Yes
36900,5052,Black,No,No,Yes
28000,23747,Gray,No,No,Yes
30000,14795,Gray,No,No,Yes
27000,29000,White,No,No,No
31600,15499,Blue,No,Yes,No
27400,25961,Gray,No,No,No
33600,19492,Blue,No,No,Yes
32600,16505,Red,No,No,Yes
27995,21510,Gray,No,No,Yes
31000,8600,Blue,No,Yes,Yes
32995,15324,Gray,No,No,Yes
34991,5018,Black,No,No,Yes
30000,24000,White,No,No,No
31295,16273,Blue,No,No,Yes
28000,27254,Black,No,No,Yes
33991,9345,Black,No,No,Yes
31700,17782,Gray,No,No,Yes
28995,22154,Red,No,No,Yes
36000,3524,Blue,No,No,Yes
27000,17353,Black,No,No,Yes
27999,10583,Silver,No,No,Yes
33999,11146,Black,No,No,Yes
31700,6800,White,No,No,Yes
